attack_type,attack_class
normal,normal
neptune,DoS
warezclient,R2L
ipsweep,Probe
portsweep,Probe
teardrop,DoS
nmap,Probe
satan,Probe
smurf,DoS
pod,DoS
back,DoS
guess_passwd,R2L
ftp_write,R2L
multihop,R2L
rootkit,U2R
buffer_overflow,U2R
imap,R2L
warezmaster,R2L
phf,R2L
land,DoS
loadmodule,U2R
spy,R2L
perl,U2R
saint,Probe
mscan,Probe
apache2,DoS
snmpgetattack,R2L
processtable,DoS
httptunnel,R2L
ps,U2R
snmpguess,R2L
mailbomb,R2L
named,R2L
sendmail,R2L
xterm,U2R
worm,DoS
xlock,R2L
xsnoop,R2L
sqlattack,U2R
udpstorm,DoS
